Pressure, Temperature, X_ch4,X_CO2, ch4_uptake, co2_uptake,ch4_diff,co2_diff
1500000.095,320,0.788,0.212,30.12892,39.25648,1.48E-08,1.13E-08
1500000.095,320,0.692,0.308,24.75042,54.84566,1.83E-08,1.08E-08
1500000.095,320,0.596,0.404,19.72706,68.88808,8.77E-09,1.07E-08
1500000.095,320,0.5,0.5,15.29404,81.23538,9.38E-09,1.02E-08
1500000.095,320,0.404,0.596,11.35168,92.32948,9.23E-09,1.04E-08
1500000.095,320,0.308,0.692,8.02662,101.34804,9.58E-09,9.50E-09
1500000.095,320,0.212,0.788,5.06052,108.98504,8.50E-09,8.90E-09
1500000.095,320,0.116,0.884,2.56694,116.3261,5.70E-09,8.41E-09
1500000.095,320,0.02,0.98,0.4083,121.91116,2.79E-08,8.28E-09
1500000.095,340,0.98,0.02,34.58818,2.6541,8.98E-09,2.56E-08
1500000.095,340,0.884,0.116,30.0115,14.79978,2.22E-08,1.14E-08
1500000.095,340,0.788,0.212,25.47506,26.55304,1.87E-08,1.47E-08
1500000.095,340,0.692,0.308,21.51342,37.80836,1.16E-08,1.59E-08
1500000.095,340,0.596,0.404,17.67316,48.23696,1.89E-08,1.32E-08
1500000.095,340,0.5,0.5,14.3109,58.07656,1.19E-08,1.04E-08
1500000.095,340,0.404,0.596,11.00724,67.24046,7.49E-09,1.42E-08
1500000.095,340,0.308,0.692,7.98506,76.04932,1.22E-08,1.23E-08
1500000.095,340,0.212,0.788,5.1961,83.9303,3.68E-09,1.26E-08
1500000.095,340,0.116,0.884,2.72456,90.63766,5.10E-09,9.78E-09
1500000.095,340,0.02,0.98,0.44054,97.40462,1.17E-08,1.03E-08
1500000.095,360,0.98,0.02,28.45666,1.83758,1.81E-08,7.80E-09
1500000.095,360,0.884,0.116,24.93908,10.43128,2.36E-08,2.46E-08
1500000.095,360,0.788,0.212,21.47966,18.55474,2.21E-08,1.75E-08
1500000.095,360,0.692,0.308,18.42536,26.8084,1.34E-08,2.26E-08
1500000.095,360,0.596,0.404,15.3719,34.46378,1.87E-08,1.28E-08
1500000.095,360,0.5,0.5,12.57062,41.70908,1.30E-08,1.44E-08
1500000.095,360,0.404,0.596,9.81236,49.11712,3.34E-08,1.45E-08
1500000.095,360,0.308,0.692,7.27284,55.59838,1.24E-08,2.20E-08
1500000.095,360,0.212,0.788,4.84592,62.71068,1.81E-08,1.72E-08
1500000.095,360,0.116,0.884,2.593,68.8113,6.09E-09,1.48E-08
1500000.095,360,0.02,0.98,0.42904,75.0911,4.63E-08,1.13E-08
1500000.095,380,0.98,0.02,23.65228,1.31584,1.87E-08,6.01E-09
1500000.095,380,0.884,0.116,20.93104,7.58124,2.46E-08,1.18E-08
1500000.095,380,0.788,0.212,18.32876,13.64928,1.92E-08,1.53E-08
1500000.095,380,0.692,0.308,15.66594,19.52926,2.11E-08,8.24E-09
1500000.095,380,0.596,0.404,13.2618,25.53676,2.58E-08,1.58E-08
1500000.095,380,0.5,0.5,10.83594,31.17516,2.03E-08,1.64E-08
1500000.095,380,0.404,0.596,8.5452,36.3347,1.67E-08,1.73E-08
1500000.095,380,0.308,0.692,6.45778,42.02684,1.30E-08,1.24E-08
1500000.095,380,0.212,0.788,4.34662,47.19096,3.60E-08,1.88E-08
1500000.095,380,0.116,0.884,2.3404,52.12974,1.44E-08,1.66E-08
1500000.095,380,0.02,0.98,0.39674,57.05844,5.03E-08,1.52E-08
1500000.095,400,0.98,0.02,20.19966,0.99814,2.09E-08,2.59E-08
1500000.095,400,0.884,0.116,17.7871,5.69454,2.17E-08,1.34E-08
1500000.095,400,0.788,0.212,15.54238,10.21626,2.43E-08,1.66E-08
1500000.095,400,0.692,0.308,13.45504,14.76352,1.97E-08,1.66E-08
1500000.095,400,0.596,0.404,11.41504,19.08078,2.09E-08,1.76E-08
1500000.095,400,0.5,0.5,9.37944,23.4254,1.63E-08,2.29E-08
1500000.095,400,0.404,0.596,7.47724,27.71296,8.31E-09,1.72E-08
1500000.095,400,0.308,0.692,5.62194,31.81848,1.90E-08,1.65E-08
1500000.095,400,0.212,0.788,3.82184,36.14984,2.76E-08,1.45E-08
1500000.095,400,0.116,0.884,2.06098,40.22902,5.81E-08,1.77E-08
1500000.095,400,0.02,0.98,0.34886,44.36742,1.33E-08,1.60E-08
3000000.09,200,0.98,0.02,74.68994,108.60046,1.70E-09,2.25E-09
3000000.09,200,0.884,0.116,14.96624,184.0125,2.06E-09,1.95E-09
3000000.09,200,0.788,0.212,23.0659,172.56636,1.09E-09,1.98E-09
3000000.09,200,0.692,0.308,19.01694,176.80826,1.34E-09,2.01E-09
3000000.09,200,0.596,0.404,23.18482,173.18364,1.06E-09,1.96E-09
3000000.09,200,0.5,0.5,21.02274,176.16326,1.03E-09,1.92E-09
3000000.09,200,0.404,0.596,17.10574,180.91582,7.85E-10,2.05E-09
3000000.09,200,0.308,0.692,15.27636,183.2725,1.13E-09,2.19E-09
3000000.09,200,0.212,0.788,11.17282,186.54948,1.83E-09,1.97E-09
3000000.09,200,0.116,0.884,7.37946,192.39384,1.21E-09,1.96E-09
3000000.09,200,0.02,0.98,1.4812,198.22768,2.35E-10,1.84E-09
3000000.09,220,0.98,0.02,92.58086,73.92616,2.71E-09,2.83E-09
3000000.09,220,0.884,0.116,26.93026,158.28322,1.90E-09,2.39E-09
3000000.09,220,0.788,0.212,14.62562,175.7391,1.86E-09,2.50E-09
3000000.09,220,0.692,0.308,8.7881,185.4784,8.83E-10,2.49E-09
3000000.09,220,0.596,0.404,13.32112,177.05676,1.23E-09,2.80E-09
3000000.09,220,0.5,0.5,10.53604,179.60256,1.37E-09,2.25E-09
3000000.09,220,0.404,0.596,8.89666,182.3561,1.77E-09,2.56E-09
3000000.09,220,0.308,0.692,15.20636,176.1551,1.86E-09,2.50E-09
3000000.09,220,0.212,0.788,11.29348,180.46918,1.59E-09,2.21E-09
3000000.09,220,0.116,0.884,6.90918,185.81148,2.33E-09,2.43E-09
3000000.09,220,0.02,0.98,1.49088,191.51532,1.65E-09,2.41E-09
3000000.09,240,0.98,0.02,100.19962,44.96686,4.82E-09,4.31E-09
3000000.09,240,0.884,0.116,40.11782,129.91676,3.51E-09,4.68E-09
3000000.09,240,0.788,0.212,21.574,156.43866,2.42E-09,3.43E-09
3000000.09,240,0.692,0.308,13.85128,168.27436,1.81E-09,3.44E-09
3000000.09,240,0.596,0.404,9.77538,174.78284,1.26E-09,2.55E-09
3000000.09,240,0.5,0.5,6.88228,179.44536,2.47E-09,3.43E-09
3000000.09,240,0.404,0.596,6.95756,177.34006,3.87E-09,3.36E-09
3000000.09,240,0.308,0.692,5.34796,178.59392,2.62E-11,3.81E-09
3000000.09,240,0.212,0.788,3.4617,183.45626,2.95E-09,2.54E-09
3000000.09,240,0.116,0.884,1.82452,184.55084,4.75E-09,3.12E-09
3000000.09,240,0.02,0.98,1.28948,186.29582,2.68E-09,2.96E-09
3000000.09,260,0.98,0.02,96.05046,26.58526,7.55E-09,7.92E-09
3000000.09,260,0.884,0.116,51.3943,99.84534,4.86E-09,4.62E-09
3000000.09,260,0.788,0.212,30.85514,130.85832,4.56E-09,5.86E-09
3000000.09,260,0.692,0.308,19.82328,147.94096,3.30E-09,4.41E-09
3000000.09,260,0.596,0.404,13.53778,157.95526,2.71E-09,4.04E-09
3000000.09,260,0.5,0.5,9.39952,164.78946,2.60E-09,4.06E-09
3000000.09,260,0.404,0.596,6.72258,170.10588,3.32E-09,3.98E-09
3000000.09,260,0.308,0.692,4.35796,173.45606,7.31E-09,3.41E-09
3000000.09,260,0.212,0.788,3.07036,175.09472,9.83E-10,3.58E-09
3000000.09,260,0.116,0.884,1.55338,177.89464,3.48E-09,3.64E-09
3000000.09,260,0.02,0.98,0.26136,179.47586,3.57E-09,3.88E-09
3000000.09,280,0.98,0.02,86.39188,15.6775,1.21E-08,1.59E-08
3000000.09,280,0.884,0.116,56.60948,71.9117,1.01E-08,7.89E-09
3000000.09,280,0.788,0.212,38.08088,104.21936,6.36E-09,5.83E-09
3000000.09,280,0.692,0.308,25.98524,124.5588,6.14E-09,5.30E-09
3000000.09,280,0.596,0.404,17.9339,138.0377,7.96E-09,5.80E-09
3000000.09,280,0.5,0.5,12.75728,146.67184,4.54E-09,5.21E-09
3000000.09,280,0.404,0.596,8.79808,153.77846,5.28E-09,5.20E-09
3000000.09,280,0.308,0.692,5.89818,159.1848,5.78E-10,4.98E-09
3000000.09,280,0.212,0.788,3.73822,162.87494,4.12E-09,4.82E-09
3000000.09,280,0.116,0.884,1.91856,165.71606,3.00E-09,4.31E-09
3000000.09,280,0.02,0.98,0.28546,169.74182,4.14E-09,4.74E-09
3000000.09,300,0.98,0.02,74.5372,9.76222,1.36E-08,8.69E-09
3000000.09,300,0.884,0.116,55.86176,49.5081,1.41E-08,1.02E-08
3000000.09,300,0.788,0.212,41.09284,78.88588,7.31E-09,8.80E-09
3000000.09,300,0.692,0.308,30.02586,100.19614,6.78E-09,7.62E-09
3000000.09,300,0.596,0.404,22.02488,115.53418,1.13E-08,6.02E-09
3000000.09,300,0.5,0.5,15.79296,126.49534,7.04E-09,6.99E-09
3000000.09,300,0.404,0.596,11.18032,135.6203,4.52E-09,6.00E-09
